1645,AKR1C1,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
1646,AKR1C2,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
2207,FCER1G,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
2621,GAS6,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
442920,MIR196B,25449831,25449831,25449831,2454848,2454848,2454848,11675475,11675475,11675475,12760253,12760253,12760253,15588473,15588473,15588473,10381818,10381818,10381818,19230253,19230253,19230253,9436699,9436699,9436699,26216523,26216523,26216523,18490013,18490013,18490013,16750201,16750201,16750201,19055724,19055724,19055724,20858448,20858448,20858448,20537326,20537326,20537326,24188612,24188612,24188612,23141164,23141164,23141164,22017422,22017422,22017422,10433073,10433073,10433073,9764347,9764347,9764347,8738720,8738720,8738720,15507512,15507512,15507512,25912412,25912412,25912412,25194152,25194152,25194152,20031030,20031030,20031030,24188612,24188612,24188612,19429661,19429661,19429661,25446850,25446850,25446850,22384446,22384446,22384446,19903049,19903049,19903049,19401003,19401003,19401003,24613539,24613539,24613539,17624337,17624337,17624337,24210790,24210790,24210790,9130910,9130910,9130910,24613539,24613539,24613539,17609243,17609243,17609243,15236995,15236995,15236995,14748845,14748845,14748845,18955785,1895
2954,GSTZ1,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
3320,HSP90AA1,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
3802,KIR2DL1,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
4719,NDUFS1,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
5730,PTGDS,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
5806,PTX3,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
5918,RARRES1,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
6462,SHBG,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
6623,SNCG,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
6716,SRD5A2,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
6718,AKR1D1,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
5716,PSMD10,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
9770,RASSF2,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
9806,SPOCK2,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
